"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",78.3,73.2,66.6,55.9,81.7,77.5,73.9,80.9,39.9,37.6,39.3,80
"1989:Q3","BabyBoom",21.3,26.2,32.8,41.7,18.1,22.4,25.7,18.7,58.4,61.3,56.9,19.8
"1989:Q3","GenX",0.4,0.6,0.6,2.4,0.2,0,0.4,0.5,1.7,1.1,3.8,0.2
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",77.2,72.2,65.5,55,80.8,76.9,71.6,79.9,39.5,37.6,38.1,79.7
"1989:Q4","BabyBoom",21.7,26.6,32.7,42.2,18.9,23.1,26.5,19.3,58.5,61.6,56.3,20.3
"1989:Q4","GenX",1.1,1.2,1.8,2.8,0.3,0,1.9,0.8,1.9,0.8,5.6,0.1
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",77.2,72.1,65.6,54.4,83.7,76.1,71.1,79.7,39.2,37.3,37.8,78.8
"1990:Q1","BabyBoom",21.8,26.8,33.1,42.4,16.3,23.9,26.5,19.4,58.5,61.4,56.5,21.2
"1990:Q1","GenX",1,1.1,1.3,3.2,0,0.1,2.4,0.9,2.3,1.3,5.6,0.1
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",76.8,71.6,64.9,53.6,85.4,74.6,70.8,79.6,38.8,37.1,37.2,78.4
"1990:Q2","BabyBoom",21.7,26.7,32.9,42.8,14.6,24.4,26.4,19.6,58.4,61.2,56.3,21.5
"1990:Q2","GenX",1.5,1.7,2.2,3.6,0,1.1,2.9,0.9,2.8,1.7,6.5,0.1
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",77.1,71.7,65.1,53.6,92,72.9,70.9,79.9,38.5,37.1,36.3,78.9
"1990:Q3","BabyBoom",21.6,26.8,33.4,43,8,25.9,26.1,19.2,58.5,61.4,56,21.1
"1990:Q3","GenX",1.3,1.5,1.5,3.4,0,1.2,3,0.9,3,1.6,7.7,0
"1990:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
